5.219000,5.193000,4.713000,3.851000,2.757000,2.497000,2.710000,3.252000,3.968000,4.660000,4.859000,4.981000,
5.161000,5.152000,4.692000,3.847000,2.760000,2.502000,2.714000,3.251000,3.955000,4.629000,4.811000,4.922000,
5.102000,5.109000,4.670000,3.842000,2.762000,2.506000,2.717000,3.250000,3.941000,4.598000,4.762000,4.862000,
5.042000,5.066000,4.647000,3.836000,2.763000,2.510000,2.720000,3.248000,3.927000,4.565000,4.712000,4.802000,
4.981000,5.021000,4.622000,3.830000,2.763000,2.513000,2.723000,3.246000,3.912000,4.532000,4.661000,4.740000,
4.919000,4.975000,4.597000,3.822000,2.764000,2.515000,2.725000,3.243000,3.896000,4.498000,4.609000,4.677000,
4.856000,4.928000,4.571000,3.814000,2.763000,2.517000,2.726000,3.239000,3.879000,4.463000,4.556000,4.614000,
4.791000,4.880000,4.543000,3.805000,2.762000,2.518000,2.727000,3.234000,3.861000,4.426000,4.502000,4.550000,
4.726000,4.831000,4.515000,3.794000,2.760000,2.519000,2.727000,3.229000,3.843000,4.390000,4.447000,4.484000,
4.660000,4.781000,4.486000,3.784000,2.758000,2.520000,2.726000,3.223000,3.824000,4.352000,4.392000,4.418000,
4.593000,4.730000,4.455000,3.772000,2.755000,2.519000,2.725000,3.216000,3.804000,4.313000,4.336000,4.351000,
4.525000,4.677000,4.424000,3.759000,2.752000,2.518000,2.723000,3.209000,3.783000,4.273000,4.278000,4.283000,
4.456000,4.624000,4.392000,3.746000,2.748000,2.517000,2.721000,3.201000,3.762000,4.233000,4.220000,4.214000,
4.386000,4.570000,4.358000,3.732000,2.743000,2.515000,2.718000,3.192000,3.739000,4.191000,4.162000,4.145000,
4.315000,4.514000,4.324000,3.717000,2.738000,2.513000,2.714000,3.183000,3.716000,4.149000,4.102000,4.074000,
4.243000,4.458000,4.289000,3.701000,2.732000,2.510000,2.710000,3.173000,3.693000,4.106000,4.041000,4.003000,
